what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874081720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874083439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874085724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874096070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874122870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874123289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874124242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874124928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874125679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874130197
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392874151594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1392874154330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874154344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874171547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874190730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874208754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874215097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874222266
error,log,,,"Could not write metadata for '/sphinx'.",1392874278936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874278981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874282471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874307123
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392874308256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874313934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874314145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392874451260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874459849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392874461522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392874466836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874471746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392874477560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874485446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874486311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392874499970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874515763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1392874523768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874525085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874525679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392874528875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392874539027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874539719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874544876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874546292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874558444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392874563888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874567313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874591037
error,log,,,"Could not write metadata for '/sphinx'.",1392874607194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874607253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874747330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874749936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392874860615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392875268510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392875288620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875291462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875326703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875335582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875533926
error,log,,,"Could not write metadata for '/sphinx'.",1392875568590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875568638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875570364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875725847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392875748220
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392875767797
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875770022
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875777319
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875779525
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875780162
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875781278
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875804256
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875805368
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1392875811674
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1392875813908
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1392875828381
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392875832551
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1392875842336
