what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1392265436640
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1392265436641
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1392265436641
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1392265436653
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1392265436654
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1392265436675
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1392265436675
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1392265436676
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1392265436677
os,sysinfo,,,"linux",1392265436679
arch,sysinfo,,,"x86",1392265436679
ws,sysinfo,,,"gtk",1392265436679
locale,sysinfo,,,"en_US",1392265436679
processors,sysinfo,,,"4",1392265436679
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1392265436679
java.runtime.version,sysinfo,,,"1.6.0_27-b27",1392265436679
java.specification.name,sysinfo,,,"Java Platform API Specification",1392265436679
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392265436679
java.specification.version,sysinfo,,,"1.6",1392265436679
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1392265436679
java.version,sysinfo,,,"1.6.0_27",1392265436679
java.vm.info,sysinfo,,,"mixed mode, sharing",1392265436679
java.vm.name,sysinfo,,,"OpenJDK Client VM",1392265436679
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392265436679
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392265436679
java.vm.specification.version,sysinfo,,,"1.0",1392265436679
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1392265436679
java.vm.version,sysinfo,,,"20.0-b12",1392265436679
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1392265436690
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1392265437260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392265437339
